age_upon_outcome,name,sex_upon_outcome,sex,spay/neuter,Periods,period_range,cat/kitten,age_group,outcome_weekday,breed1,cfa_breed,domestic_breed,coat_pattern,color1,color2,coat,outcome
1 month,0,Intact Male,Male,No,1,30,Kitten,"(-0.022, 2.2]",Friday,domestic shorthair,False,True,missing,white,blue,white,Transfer-- Partner
5 months,1,Neutered Male,Male,Yes,5,30,Kitten,"(-0.022, 2.2]",Friday,domestic shorthair,False,True,tabby,brown,none,brown,Adoption-- 
9 months,1,Spayed Female,Female,Yes,9,30,Cat,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,tabby,brown,none,brown,Adoption-- Foster
1 year,1,Spayed Female,Female,Yes,1,365,Cat,"(-0.022, 2.2]",Monday,domestic shorthair,False,True,tabby,cream ,white,cream ,Transfer-- Partner
2 weeks,0,Intact Male,Male,No,2,7,Kitten,"(-0.022, 2.2]",Monday,domestic shorthair,False,True,tabby,orange ,white,orange ,Transfer-- Partner
2 months,0,Neutered Male,Male,Yes,2,30,Kitten,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,tabby,cream,none,cream,Adoption-- 
3 weeks,0,Intact Female,Female,No,3,7,Kitten,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,tabby,brown,none,brown,Transfer-- Partner
1 year,1,Spayed Female,Female,Yes,1,365,Cat,"(-0.022, 2.2]",Tuesday,domestic longhair,False,True,tabby,brown,none,brown,Adoption-- 
6 months,1,Spayed Female,Female,Yes,6,30,Cat,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,tabby,white,brown,white,Adoption-- 
4 weeks,0,Intact Male,Male,No,4,7,Kitten,"(-0.022, 2.2]",Thursday,domestic shorthair,False,True,missing,white,none,white,Transfer-- Partner
5 months,1,Spayed Female,Female,Yes,5,30,Kitten,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,missing,gray,white,gray,Adoption-- 
7 years,1,Spayed Female,Female,Yes,7,365,Cat,"(6.6, 8.8]",Friday,domestic shorthair,False,True,missing,blue,none,blue,Adoption-- 
3 months,0,Neutered Male,Male,Yes,3,30,Kitten,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,tabby,orange,none,orange,Adoption-- 
3 weeks,0,Intact Female,Female,No,3,7,Kitten,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,tabby,black ,white,black ,Transfer-- Partner
1 year,1,Neutered Male,Male,Yes,1,365,Cat,"(-0.022, 2.2]",Friday,domestic shorthair,False,True,tabby,orange ,white,orange ,Transfer-- Partner
2 weeks,0,Unknown,Female,Yes,2,7,Kitten,"(-0.022, 2.2]",Wednesday,domestic shorthair,False,True,tabby,brown,none,brown,Transfer-- Partner
8 months,1,Intact Male,Male,No,8,30,Cat,"(-0.022, 2.2]",Saturday,domestic mediumhair,False,True,missing,white,black,white,Adoption-- 
3 months,0,Spayed Female,Female,Yes,3,30,Kitten,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,tabby,blue,none,blue,Adoption-- 
1 month,0,Intact Male,Male,No,1,30,Kitten,"(-0.022, 2.2]",Monday,domestic shorthair,False,True,missing,blue,white,blue,Transfer-- Partner
6 months,0,Intact Female,Female,No,6,30,Cat,"(-0.022, 2.2]",Monday,domestic shorthair,False,True,tortie,gray,none,gray,Euthanasia-- Suffering
3 months,1,Spayed Female,Female,Yes,3,30,Kitten,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,tabby,brown ,white,brown ,Adoption-- 
2 years,1,Spayed Female,Female,Yes,2,365,Cat,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,missing,white,black,white,Adoption-- Foster
2 weeks,0,Intact Male,Male,No,2,7,Kitten,"(-0.022, 2.2]",Tuesday,domestic mediumhair,False,True,missing,black,none,black,Transfer-- Partner
8 months,1,Spayed Female,Female,Yes,8,30,Cat,"(-0.022, 2.2]",Monday,domestic shorthair,False,True,torbie,Breed Specific,none,torbie,Transfer-- Partner
2 years,0,Intact Male,Male,No,2,365,Cat,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,tabby,brown,none,brown,Transfer-- SCRP
3 months,1,Neutered Male,Male,Yes,3,30,Kitten,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,tabby,brown,none,brown,Adoption-- Foster
4 months,1,Neutered Male,Male,Yes,4,30,Kitten,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,missing,black,none,black,Adoption-- 
3 days,0,Unknown,Female,Yes,3,1,Kitten,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,missing,black,none,black,Transfer-- Partner
6 years,0,Intact Male,Male,No,6,365,Cat,"(4.4, 6.6]",Tuesday,domestic shorthair,False,True,tabby,white,orange,white,Transfer-- SCRP
2 years,1,Intact Male,Male,No,2,365,Cat,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,tabby,brown,none,brown,Return to Owner-- 
6 days,1,Intact Male,Male,No,6,1,Kitten,"(-0.022, 2.2]",Thursday,domestic longhair,False,True,tabby,brown,none,brown,Died-- In Foster
2 months,0,Intact Male,Male,No,2,30,Kitten,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,missing,black,white,black,Transfer-- Partner
5 months,1,Neutered Male,Male,Yes,5,30,Kitten,"(-0.022, 2.2]",Monday,siamese,True,False,point,flame,none,flame,Adoption-- 
4 months,1,Neutered Male,Male,Yes,4,30,Kitten,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,tabby,brown,none,brown,Adoption-- 
2 months,1,Neutered Male,Male,Yes,2,30,Kitten,"(-0.022, 2.2]",Wednesday,domestic mediumhair,False,True,tabby,brown ,white,brown ,Adoption-- 
3 years,1,Neutered Male,Male,Yes,3,365,Cat,"(2.2, 4.4]",Thursday,domestic shorthair,False,True,tabby,orange ,white,orange ,Adoption-- 
2 days,0,Unknown,Female,Yes,2,1,Kitten,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,tortie,Breed Specific,none,tortie,Transfer-- Partner
2 months,1,Spayed Female,Female,Yes,2,30,Kitten,"(-0.022, 2.2]",Friday,domestic shorthair,False,True,tabby,orange ,white,orange ,Adoption-- 
10 years,1,Spayed Female,Female,Yes,10,365,Cat,"(8.8, 11.0]",Friday,domestic longhair,False,True,tabby,brown,none,brown,Transfer-- Partner
4 months,0,Intact Female,Female,No,4,30,Kitten,"(-0.022, 2.2]",Wednesday,domestic mediumhair,False,True,tabby,brown ,white,brown ,Transfer-- SCRP
1 year,1,Spayed Female,Female,Yes,1,365,Cat,"(-0.022, 2.2]",Wednesday,domestic shorthair,False,True,torbie,Breed Specific,blue,torbie,Transfer-- Partner
4 years,0,Spayed Female,Female,Yes,4,365,Cat,"(2.2, 4.4]",Friday,domestic shorthair,False,True,tortie,Breed Specific,none,tortie,Transfer-- SCRP
12 years,1,Neutered Male,Male,Yes,12,365,Cat,"(11.0, 13.2]",Sunday,domestic shorthair,False,True,tabby,brown ,white,brown ,Euthanasia-- Suffering
1 year,0,Intact Female,Female,No,1,365,Cat,"(-0.022, 2.2]",Friday,domestic shorthair,False,True,missing,black,white,black,Transfer-- SCRP
1 year,1,Spayed Female,Female,Yes,1,365,Cat,"(-0.022, 2.2]",Monday,domestic shorthair,False,True,tabby,orange,none,orange,Transfer-- Partner
2 months,1,Intact Male,Male,No,2,30,Kitten,"(-0.022, 2.2]",Monday,domestic shorthair,False,True,tabby,brown,none,brown,Adoption-- 
3 months,1,Neutered Male,Male,Yes,3,30,Kitten,"(-0.022, 2.2]",Wednesday,domestic longhair,False,True,tabby,blue,none,blue,Adoption-- Foster
1 month,1,Intact Male,Male,No,1,30,Kitten,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,missing,black,white,black,Transfer-- Partner
2 months,1,Intact Female,Female,No,2,30,Kitten,"(-0.022, 2.2]",Thursday,domestic mediumhair,False,True,calico,Breed Specific,blue cream,calico,Adoption-- 
7 years,1,Neutered Male,Male,Yes,7,365,Cat,"(6.6, 8.8]",Sunday,domestic shorthair,False,True,missing,white,tan,white,Transfer-- Partner
2 weeks,0,Unknown,Female,Yes,2,7,Kitten,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,tabby,white,brown,white,Transfer-- Partner
2 months,1,Intact Female,Female,No,2,30,Kitten,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,missing,black,white,black,Adoption-- 
10 months,1,Neutered Male,Male,Yes,10,30,Cat,"(-0.022, 2.2]",Thursday,domestic shorthair,False,True,missing,white,black,white,Transfer-- Partner
6 years,1,Spayed Female,Female,Yes,6,365,Cat,"(4.4, 6.6]",Friday,domestic longhair,False,True,missing,black,none,black,Adoption-- 
2 weeks,0,Intact Male,Male,No,2,7,Kitten,"(-0.022, 2.2]",Thursday,domestic shorthair,False,True,tabby,cream,none,cream,Transfer-- Partner
8 months,1,Spayed Female,Female,Yes,8,30,Cat,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,tabby,brown,none,brown,Return to Owner-- 
2 years,1,Spayed Female,Female,Yes,2,365,Cat,"(-0.022, 2.2]",Monday,domestic mediumhair,False,True,tortie,Breed Specific,none,tortie,Transfer-- Partner
2 months,1,Intact Female,Female,No,2,30,Kitten,"(-0.022, 2.2]",Thursday,domestic shorthair,False,True,tabby,blue,none,blue,Transfer-- Partner
3 weeks,0,Intact Male,Male,No,3,7,Kitten,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,tabby,brown,none,brown,Transfer-- Partner
4 weeks,0,Intact Male,Male,No,4,7,Kitten,"(-0.022, 2.2]",Friday,domestic shorthair,False,True,missing,black,white,black,Transfer-- Partner
2 years,1,Spayed Female,Female,Yes,2,365,Cat,"(-0.022, 2.2]",Friday,domestic shorthair,False,True,missing,black,none,black,Transfer-- SCRP
1 year,1,Intact Female,Female,No,1,365,Cat,"(-0.022, 2.2]",Friday,domestic shorthair,False,True,tabby,brown ,white,brown ,Transfer-- Partner
1 year,0,Neutered Male,Male,Yes,1,365,Cat,"(-0.022, 2.2]",Monday,domestic shorthair,False,True,tabby,orange,none,orange,Transfer-- SCRP
2 years,1,Intact Female,Female,No,2,365,Cat,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,torbie,Breed Specific,none,torbie,Died-- In Kennel
1 year,0,Neutered Male,Male,Yes,1,365,Cat,"(-0.022, 2.2]",Wednesday,domestic shorthair,False,True,missing,black,none,black,Transfer-- Partner
2 months,1,Intact Female,Female,No,2,30,Kitten,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,torbie,Breed Specific,none,torbie,Transfer-- Partner
3 months,1,Spayed Female,Female,Yes,3,30,Kitten,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,tabby,brown ,white,brown ,Adoption-- 
2 months,1,Neutered Male,Male,Yes,2,30,Kitten,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,missing,white,orange,white,Adoption-- 
2 months,1,Spayed Female,Female,Yes,2,30,Kitten,"(-0.022, 2.2]",Thursday,domestic shorthair,False,True,tabby,brown,none,brown,Transfer-- Partner
3 months,0,Intact Male,Male,No,3,30,Kitten,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,missing,black,none,black,Transfer-- SCRP
2 months,1,Neutered Male,Male,Yes,2,30,Kitten,"(-0.022, 2.2]",Monday,domestic mediumhair,False,True,missing,black,none,black,Adoption-- 
4 years,1,Neutered Male,Male,Yes,4,365,Cat,"(2.2, 4.4]",Saturday,domestic shorthair,False,True,tabby,brown,none,brown,Adoption-- 
5 months,1,Neutered Male,Male,Yes,5,30,Kitten,"(-0.022, 2.2]",Thursday,domestic shorthair,False,True,missing,black,none,black,Transfer-- Partner
1 year,1,Spayed Female,Female,Yes,1,365,Cat,"(-0.022, 2.2]",Monday,domestic mediumhair,False,True,calico,Breed Specific,none,calico,Adoption-- 
1 year,0,Unknown,Female,Yes,1,365,Cat,"(-0.022, 2.2]",Friday,domestic shorthair,False,True,missing,black,none,black,Transfer-- SCRP
2 months,1,Spayed Female,Female,Yes,2,30,Kitten,"(-0.022, 2.2]",Wednesday,domestic shorthair,False,True,torbie,Breed Specific,none,torbie,Adoption-- Foster
2 months,0,Intact Female,Female,No,2,30,Kitten,"(-0.022, 2.2]",Monday,domestic shorthair,False,True,missing,black,none,black,Died-- In Kennel
2 years,1,Spayed Female,Female,Yes,2,365,Cat,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,tortie,Breed Specific,none,tortie,Transfer-- SCRP
4 weeks,1,Intact Female,Female,No,4,7,Kitten,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,tortie,Breed Specific,none,tortie,Transfer-- Partner
7 years,1,Spayed Female,Female,Yes,7,365,Cat,"(6.6, 8.8]",Tuesday,domestic shorthair,False,True,torbie,Breed Specific,none,torbie,Transfer-- Partner
3 months,1,Neutered Male,Male,Yes,3,30,Kitten,"(-0.022, 2.2]",Friday,domestic shorthair,False,True,tabby,cream ,white,cream ,Adoption-- 
2 days,0,Intact Male,Male,No,2,1,Kitten,"(-0.022, 2.2]",Wednesday,domestic shorthair,False,True,missing,black,none,black,Transfer-- Partner
2 years,1,Spayed Female,Female,Yes,2,365,Cat,"(-0.022, 2.2]",Friday,domestic shorthair,False,True,tabby,brown,none,brown,Transfer-- Partner
3 months,1,Spayed Female,Female,Yes,3,30,Kitten,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,missing,black,none,black,Adoption-- 
3 months,0,Intact Male,Male,No,3,30,Kitten,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,missing,black,none,black,Transfer-- SCRP
5 years,1,Spayed Female,Female,Yes,5,365,Cat,"(4.4, 6.6]",Saturday,domestic shorthair,False,True,missing,blue,white,blue,Return to Owner-- 
11 years,1,Spayed Female,Female,Yes,11,365,Cat,"(8.8, 11.0]",Friday,domestic shorthair,False,True,missing,blue,none,blue,Transfer-- Partner
2 months,1,Neutered Male,Male,Yes,2,30,Kitten,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,tabby,blue,none,blue,Transfer-- Partner
3 weeks,0,Unknown,Female,Yes,3,7,Kitten,"(-0.022, 2.2]",Wednesday,domestic shorthair,False,True,tabby,brown,none,brown,Transfer-- Partner
1 week,0,Intact Female,Female,No,1,7,Kitten,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,tabby,brown,none,brown,Transfer-- Partner
5 months,1,Intact Female,Female,No,5,30,Kitten,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,tabby,brown ,white,brown ,Return to Owner-- 
8 years,1,Neutered Male,Male,Yes,8,365,Cat,"(6.6, 8.8]",Saturday,domestic shorthair,False,True,missing,black,white,black,Adoption-- 
11 years,1,Spayed Female,Female,Yes,11,365,Cat,"(8.8, 11.0]",Saturday,domestic shorthair,False,True,missing,black,white,black,Adoption-- 
2 months,1,Intact Female,Female,No,2,30,Kitten,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,missing,white,none,white,Adoption-- 
10 months,0,Intact Male,Male,No,10,30,Cat,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,tabby,white,orange,white,Transfer-- SCRP
4 months,1,Neutered Male,Male,Yes,4,30,Kitten,"(-0.022, 2.2]",Wednesday,domestic shorthair,False,True,tabby,brown ,white,brown ,Transfer-- SCRP
1 month,0,Intact Male,Male,No,1,30,Kitten,"(-0.022, 2.2]",Monday,domestic shorthair,False,True,missing,blue,none,blue,Transfer-- Partner
2 months,1,Neutered Male,Male,Yes,2,30,Kitten,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,tabby,orange,none,orange,Adoption-- 
8 years,1,Neutered Male,Male,Yes,8,365,Cat,"(6.6, 8.8]",Monday,domestic shorthair,False,True,tabby,orange,none,orange,Adoption-- 
10 months,1,Spayed Female,Female,Yes,10,30,Cat,"(-0.022, 2.2]",Tuesday,domestic mediumhair,False,True,tabby,brown ,white,brown ,Adoption-- 
1 month,0,Intact Male,Male,No,1,30,Kitten,"(-0.022, 2.2]",Wednesday,domestic shorthair,False,True,tabby,orange ,white,orange ,Euthanasia-- Suffering
3 weeks,0,Intact Male,Male,No,3,7,Kitten,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,tabby,brown ,white,brown ,Transfer-- Partner
4 weeks,0,Unknown,Female,Yes,4,7,Kitten,"(-0.022, 2.2]",Thursday,domestic shorthair,False,True,smoke,black ,white,black ,Euthanasia-- Suffering
4 months,0,Intact Male,Male,No,4,30,Kitten,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,missing,black,white,black,Transfer-- Snr
1 month,0,Intact Male,Male,No,1,30,Kitten,"(-0.022, 2.2]",Monday,domestic shorthair,False,True,missing,blue,none,blue,Transfer-- Partner
1 month,1,Intact Male,Male,No,1,30,Kitten,"(-0.022, 2.2]",Friday,domestic shorthair,False,True,tabby,orange ,white,orange ,Transfer-- Partner
2 weeks,0,Unknown,Female,Yes,2,7,Kitten,"(-0.022, 2.2]",Friday,domestic shorthair,False,True,tabby,black,none,black,Transfer-- Partner
2 months,1,Intact Male,Male,No,2,30,Kitten,"(-0.022, 2.2]",Friday,domestic longhair,False,True,missing,black,none,black,Adoption-- 
3 months,1,Neutered Male,Male,Yes,3,30,Kitten,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,tabby,brown,none,brown,Adoption-- 
10 years,1,Neutered Male,Male,Yes,10,365,Cat,"(8.8, 11.0]",Monday,domestic shorthair,False,True,tabby,brown,none,brown,Return to Owner-- 
6 months,1,Spayed Female,Female,Yes,6,30,Cat,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,tabby,brown ,white,brown ,Adoption-- Foster
1 year,1,Neutered Male,Male,Yes,1,365,Cat,"(-0.022, 2.2]",Tuesday,domestic longhair,False,True,tabby,orange ,white,orange ,Adoption-- 
4 months,1,Spayed Female,Female,Yes,4,30,Kitten,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,tabby,blue ,white,blue ,Transfer-- Partner
8 years,1,Neutered Male,Male,Yes,8,365,Cat,"(6.6, 8.8]",Tuesday,domestic shorthair,False,True,missing,black,none,black,Transfer-- Partner
1 year,0,Intact Female,Female,No,1,365,Cat,"(-0.022, 2.2]",Thursday,domestic shorthair,False,True,tabby,brown ,white,brown ,Transfer-- Partner
3 weeks,0,Intact Female,Female,No,3,7,Kitten,"(-0.022, 2.2]",Wednesday,domestic shorthair,False,True,tortie,Breed Specific,none,tortie,Died-- In Kennel
5 months,0,Intact Male,Male,No,5,30,Kitten,"(-0.022, 2.2]",Friday,domestic shorthair,False,True,tabby,orange ,white,orange ,Transfer-- SCRP
5 months,0,Neutered Male,Male,Yes,5,30,Kitten,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,tabby,brown,none,brown,Adoption-- 
1 year,1,Spayed Female,Female,Yes,1,365,Cat,"(-0.022, 2.2]",Wednesday,domestic mediumhair,False,True,tortie,Breed Specific,none,tortie,Transfer-- Partner
1 year,1,Neutered Male,Male,Yes,1,365,Cat,"(-0.022, 2.2]",Monday,domestic shorthair,False,True,missing,white,orange,white,Transfer-- Partner
2 weeks,0,Intact Female,Female,No,2,7,Kitten,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,torbie,Breed Specific,none,torbie,Transfer-- Partner
2 months,0,Neutered Male,Male,Yes,2,30,Kitten,"(-0.022, 2.2]",Wednesday,domestic longhair,False,True,missing,black,white,black,Adoption-- Foster
11 years,1,Spayed Female,Female,Yes,11,365,Cat,"(8.8, 11.0]",Monday,domestic longhair,False,True,missing,black,none,black,Transfer-- Partner
1 month,1,Intact Male,Male,No,1,30,Kitten,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,missing,black,none,black,Transfer-- Partner
3 weeks,0,Intact Female,Female,No,3,7,Kitten,"(-0.022, 2.2]",Saturday,domestic longhair,False,True,missing,black,white,black,Transfer-- Partner
1 month,1,Intact Female,Female,No,1,30,Kitten,"(-0.022, 2.2]",Monday,domestic shorthair,False,True,tabby,brown,none,brown,Euthanasia-- Suffering
3 days,0,Intact Male,Male,No,3,1,Kitten,"(-0.022, 2.2]",Friday,domestic shorthair,False,True,missing,white,black,white,Transfer-- Partner
1 year,1,Spayed Female,Female,Yes,1,365,Cat,"(-0.022, 2.2]",Monday,domestic shorthair,False,True,missing,black,white,black,Adoption-- 
3 months,1,Spayed Female,Female,Yes,3,30,Kitten,"(-0.022, 2.2]",Friday,domestic shorthair,False,True,tabby,white,brown,white,Transfer-- Partner
2 months,1,Spayed Female,Female,Yes,2,30,Kitten,"(-0.022, 2.2]",Wednesday,domestic shorthair,False,True,tabby,brown,none,brown,Adoption-- 
4 months,0,Intact Male,Male,No,4,30,Kitten,"(-0.022, 2.2]",Wednesday,domestic shorthair,False,True,tabby,brown ,white,brown ,Euthanasia-- Suffering
1 year,0,Intact Female,Female,No,1,365,Cat,"(-0.022, 2.2]",Monday,domestic shorthair,False,True,tabby,brown,none,brown,Transfer-- SCRP
1 year,0,Spayed Female,Female,Yes,1,365,Cat,"(-0.022, 2.2]",Monday,domestic shorthair,False,True,tabby,blue ,white,blue ,Transfer-- SCRP
3 months,1,Neutered Male,Male,Yes,3,30,Kitten,"(-0.022, 2.2]",Saturday,domestic shorthair,False,True,tabby,blue ,white,blue ,Adoption-- 
2 months,1,Spayed Female,Female,Yes,2,30,Kitten,"(-0.022, 2.2]",Thursday,domestic shorthair,False,True,tabby,brown ,white,brown ,Transfer-- Partner
2 months,1,Neutered Male,Male,Yes,2,30,Kitten,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,missing,black,none,black,Adoption-- 
4 months,1,Spayed Female,Female,Yes,4,30,Kitten,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,missing,black,none,black,Adoption-- 
1 year,1,Spayed Female,Female,Yes,1,365,Cat,"(-0.022, 2.2]",Friday,domestic longhair,False,True,calico,Breed Specific,none,calico,Adoption-- 
1 month,1,Intact Male,Male,No,1,30,Kitten,"(-0.022, 2.2]",Friday,domestic shorthair,False,True,missing,black,none,black,Died-- In Foster
2 years,1,Neutered Male,Male,Yes,2,365,Cat,"(-0.022, 2.2]",Friday,domestic shorthair,False,True,tabby,brown,none,brown,Adoption-- Foster
1 month,1,Intact Female,Female,No,1,30,Kitten,"(-0.022, 2.2]",Wednesday,domestic mediumhair,False,True,tabby,cream,none,cream,Transfer-- Partner
3 weeks,0,Intact Female,Female,No,3,7,Kitten,"(-0.022, 2.2]",Sunday,domestic longhair,False,True,calico,Breed Specific,none,calico,Transfer-- Partner
2 months,1,Spayed Female,Female,Yes,2,30,Kitten,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,missing,black,white,black,Adoption-- 
3 weeks,0,Intact Female,Female,No,3,7,Kitten,"(-0.022, 2.2]",Friday,siamese,True,False,point,lilac,none,lilac,Transfer-- Partner
1 year,0,Neutered Male,Male,Yes,1,365,Cat,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,missing,blue,none,blue,Transfer-- Partner
4 years,1,Neutered Male,Male,Yes,4,365,Cat,"(2.2, 4.4]",Sunday,domestic shorthair,False,True,tabby,brown,none,brown,Adoption-- 
